sa2_code21,sa2_name21,stops,schools,parks,businesses,z_stops,z_schools,z_parks,z_businesses,z_total,real_score
120031680,Strathfield - East,114,6.823821339950372,29,7.598142676234698,0.3879412337381406,0.33823232720844887,-0.7764497127598111,-0.009932851429157584,-0.06020900324237923,0.48495229473132556
120021387,Balmain,74,2.82258064516129,53,7.166165461641819,-0.6147376473081301,-1.065259326140981,0.8609170455286611,-0.19572742736027668,-1.0148073552807266,0.26604009812339485
120031393,Croydon Park - Enfield,114,5.275304978569074,45,5.727704908643107,0.3879412337381406,-0.20493164468258596,0.31512812609917035,-0.8144132270034806,-0.31627551184875563,0.42158370135277395
120011386,Five Dock - Abbotsford,185,3.0469226081657528,64,8.619458069431877,2.1676962475952712,-0.986568215910386,1.611376809744211,0.4293376794247223,3.2218425208538184,0.9616480265250941
120031576,Strathfield South,46,14.925373134328359,24,9.868421052631579,-1.3166128640405197,3.17996597682259,-1.1175677874032428,0.9665200584443022,1.71230538382313,0.8471350640690299
120031394,Dulwich Hill - Lewisham,90,8.26787928896238,41,4.764806914510499,-0.21366609488962182,0.844756036474603,0.042233666384424974,-1.2285582754949858,-0.5552346675255797,0.36465078104002213
120031395,Haberfield - Summer Hill,111,9.30232558139535,42,5.60761455028407,0.3127403176596703,1.2076026753080777,0.11045728131311132,-0.8660644170454408,0.7647358572354186,0.682381055401086
120031679,Croydon,94,6.193693693693694,37,5.546967354733109,-0.11339820678499477,0.11720616069521732,-0.2306607933303204,-0.892148940946596,-1.1190017803666938,0.24619648998444402
120031678,Burwood (NSW),74,8.2930200414651,30,13.397308075772681,-0.6147376473081301,0.8535745102900981,-0.7082260978311248,2.4843039734854067,2.01491473863625,0.8823541575821608
120011672,Concord West - North Strathfield,77,3.4587116299178553,54,6.730099791134833,-0.5395367312296598,-0.8421274039085808,0.9291406604573474,-0.3832804593097083,-0.8358039339906014,0.3024192592668367
120031396,Homebush,75,4.396482813749,48,10.417162155734195,-0.5896706752819734,-0.5131909240380529,0.5197989708852294,1.2025351006798326,0.6194724722450357,0.6500985611163428
120021675,Leichhardt,96,4.690117252931323,35,9.018718094157686,-0.06326426273268122,-0.41019449968771665,-0.3671080231876931,0.6010605029307997,-0.23950628267729124,0.44040802319043226
120011673,Rhodes,43,4.944375772558714,22,10.662997678218249,-1.3918137801189898,-0.3210097349334343,-1.2540150172606155,1.3082696281172965,-1.658568904195743,0.15995419807964006
120011383,Concord - Mortlake - Cabarita,181,2.052861175263023,59,7.4987071194621615,2.067428359490644,-1.3352492952097403,1.2702587351007792,-0.052700355081959416,1.9497374442997237,0.8754180099642694
120011385,Drummoyne - Rodd Point,139,3.304692663582287,72,8.475497120504183,1.0146155343920598,-0.8961517304108562,2.157165729173702,0.3674196833983104,2.643049216553216,0.9335812881635589
120031677,Ashfield - South,107,7.988380537400145,22,6.59931562652762,0.21247242955504322,0.7467179040898025,-1.2540150172606155,-0.43953108452984574,-0.7343557681456154,0.32423961282536523
120021674,Annandale (NSW),40,6.228373702422146,28,8.827238335435057,-1.4670146961974602,0.12937066328359081,-0.8446733276884976,0.5187045374551837,-1.6636128231471832,0.15927761436363652
120021389,Lilyfield - Rozelle,86,5.420054200542006,51,7.93135770423246,-0.3139339829942489,-0.15415881186290417,0.7244698156712884,0.1333838391955263,0.3897608600096617,0.5962251298873059
120031681,Strathfield - West,149,4.6865846514352665,42,7.425742574257425,1.2652852546536275,-0.4114336095270177,0.11045728131311132,-0.08408260459967376,0.8802263218400473,0.7068691183439106
120031392,Canterbury (North) - Ashbury,105,6.010928961748634,26,3.8177442111378537,0.16233848550272967,0.05309885114355869,-0.9811205575458702,-1.6358925223235703,-2.401575743223152,0.08305261709047009
120031676,Ashfield - North,69,4.918032786885246,24,4.344803614876607,-0.740072507438914,-0.33024990900373347,-1.1175677874032428,-1.4092028380066777,-3.5970930418525677,0.026672357201191755
